Procurement_ID,Order_Date,Department_ID,Category_ID,Supplier_ID,Procurement_Method,Quantity,Estimated_Unit_Price_AZN,Actual_Unit_Price_AZN,Contract_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Region,Quality_Score
PR-2024-02663,2024-11-15,DEP-001,CAT-001,SUP-062,Request for Quotation,80,2836.05,2584.4,2024-11-30,2025-01-02,2024-12-28,Completed,Baku,4.1
PR-2024-02664,2024-06-08,DEP-008,CAT-008,SUP-086,Request for Quotation,258,196.35,177.29,2024-06-10,2024-08-01,2024-08-05,Completed,Ganja,4.6
PR-2025-02665,2025-08-24,DEP-012,CAT-017,SUP-060,Request for Quotation,106,693.02,685.23,2025-09-02,2025-09-13,2025-09-13,Completed,Baku,4.6
PR-2025-02666,2025-10-05,DEP-006,CAT-008,SUP-017,Open Tender,310,51.15,47.13,2025-10-17,2025-11-08,2025-11-13,Completed,Baku,3.6
PR-2025-02667,2025-05-21,DEP-011,CAT-015,SUP-006,Request for Quotation,1,3068.0,2893.55,2025-05-25,2025-07-10,2025-07-15,Completed,Baku,3.5
PR-2025-02668,2025-02-03,DEP-004,CAT-012,SUP-039,Direct Purchase,11,1533.0,1458.67,2025-02-19,2025-03-24,2025-04-03,Completed,Baku,4.5
PR-2025-02669,2025-05-31,DEP-004,CAT-006,,Direct Purchase,23,2944.55,3067.3,2025-06-13,2025-08-06,2025-07-25,Completed,Ganja,4.5
PR-2024-02670,2024-12-25,DEP-008,CAT-019,SUP-106,Open Tender,863,277.05,233.29,2025-01-20,2025-02-20,2025-02-19,Completed,Ganja,4.9
PR-2026-02671,2026-06-29,DEP-005,CAT-012,SUP-030,Request for Quotation,9,3583.51,3246.16,2026-07-18,2026-08-11,2026-08-09,Completed,Baku,3.8
PR-2024-02672,2024-03-02,DEP-010,CAT-024,SUP-034,Open Tender,51,,73.26,2024-03-13,2024-04-24,2024-04-26,Completed,Ganja,5.0
PR-2026-02673,2026-05-09,DEP-008,CAT-003,SUP-007,Direct Purchase,35,684.4,728.17,2026-05-20,2026-06-20,2026-06-23,Completed,Ganja,4.6
PR-2025-02674,2025-07-25,DEP-006,CAT-007,SUP-070,Framework Agreement,901,2.38,2.23,2025-08-18,2025-09-16,2025-09-18,Completed,Baku,4.3
PR-2026-02675,2026-04-29,DEP-002,CAT-016,SUP-026,Request for Quotation,2,10534.97,10094.11,2026-05-23,2026-07-17,2026-07-17,Completed,Baku,4.6
PR-2024-02676,2024-03-10,DEP-005,CAT-011,SUP-024,Open Tender,5,1486.18,1368.81,2024-03-17,2024-04-13,2024-04-05,Completed,Baku,4.5
PR-2026-02677,2026-04-24,DEP-010,CAT-010,SUP-065,Request for Quotation,45,174.72,172.77,2026-05-06,2026-05-22,2026-05-15,Completed,Shaki,4.5
PR-2026-02678,2026-05-14,DEP-011,CAT-024,SUP-047,Request for Quotation,155,27.46,26.08,2026-06-01,2026-07-18,,Cancelled,Baku,
PR-2026-02679,2026-01-21,DEP-005,CAT-012,SUP-024,Request for Quotation,6,6758.27,6207.9,2026-01-30,2026-02-27,2026-02-22,Completed,Baku,3.7
PR-2024-02680,2024-05-24,DEP-008,CAT-020,SUP-016,Framework Agreement,146,1.36,1.16,2024-06-18,2024-07-19,2024-08-03,Completed,Absheron,3.6
PR-2025-02681,2025-02-26,DEP-010,CAT-018,SUP-098,Open Tender,2,17655.64,16108.71,2025-03-13,2025-04-13,2025-04-08,Completed,Mingachevir,4.6
PR-2026-02682,2026-05-06,DEP-005,CAT-013,SUP-057,Open Tender,9,2522.65,2124.99,2026-05-27,2026-07-19,2026-07-20,Completed,Baku,4.0
PR-2025-02683,2025-05-31,DEP-005,CAT-023,SUP-003,Request for Quotation,431,72.12,76.13,2025-06-26,2025-07-04,2025-07-02,Completed,Shaki,4.0
PR-2024-02684,2024-12-21,DEP-010,CAT-001,SUP-001,Framework Agreement,39,1827.83,1744.97,2025-01-14,2025-02-08,,Cancelled,Shirvan,
PR-2026-02685,2026-01-11,DEP-008,CAT-006,SUP-001,Open Tender,80,1008.99,814.85,2026-02-02,2026-03-14,2026-03-03,Completed,Sumgayit,3.8
PR-2026-02686,2026-05-23,DEP-007,CAT-021,SUP-051,Direct Purchase,35,317.93,320.51,2026-05-30,2026-06-13,,In Progress,Baku,
PR-2024-02687,2024-02-16,DEP-012,CAT-007,SUP-064,Direct Purchase,753,6.74,6.78,2024-03-02,2024-03-24,2024-03-24,Completed,Baku,4.9
PR-2024-02688,2024-01-24,DEP-008,CAT-011,SUP-035,Open Tender,7,7758.94,7184.35,2024-01-26,2024-02-28,2024-02-27,Completed,Shirvan,2.8
PR-2024-02689,2024-04-25,DEP-004,CAT-005,SUP-041,Open Tender,67,3848.75,4493.76,2024-05-20,2024-06-27,,In Progress,Shaki,
PR-2025-02690,2025-02-11,DEP-011,CAT-008,SUP-021,Open Tender,513,343.44,289.28,2025-03-05,2025-03-15,2025-03-13,Completed,Baku,4.5
PR-2024-02691,2024-04-08,DEP-008,CAT-014,SUP-096,Direct Purchase,1,304.95,315.86,2024-04-30,2024-05-22,2024-05-27,Completed,Ganja,4.5
PR-2025-02692,2025-03-25,DEP-010,CAT-015,SUP-080,Request for Quotation,1,4204.25,4059.13,2025-04-04,2025-04-13,2025-04-27,Completed,Baku,4.6
PR-2026-02693,2026-04-26,DEP-005,CAT-014,SUP-096,Request for Quotation,9,707.9,653.99,2026-05-18,2026-06-13,2026-06-17,Completed,Baku,4.3
PR-2024-02694,2024-06-19,DEP-001,CAT-005,SUP-007,Open Tender,53,116.47,100.39,2024-06-30,2024-08-04,2024-08-09,Completed,Baku,4.3
PR-2024-02695,2024-07-14,DEP-012,CAT-005,SUP-100,Open Tender,63,177.31,149.05,2024-07-18,2024-08-30,,In Progress,Baku,
PR-2026-02696,2026-02-14,DEP-001,CAT-001,SUP-011,Request for Quotation,71,3449.18,3201.73,2026-02-20,2026-03-19,2026-03-17,Completed,Baku,4.9
PR-2024-02697,2024-07-11,DEP-006,CAT-014,SUP-115,Open Tender,1,559.44,531.77,2024-07-16,2024-08-01,2024-08-07,Completed,Baku,3.4
PR-2025-02698,2025-03-21,DEP-012,CAT-002,SUP-107,Open Tender,35,1071.74,884.57,2025-03-31,2025-05-12,2025-05-04,Completed,Baku,4.6
PR-2025-02699,2025-07-02,DEP-002,CAT-016,SUP-114,Direct Purchase,1,7352.89,7297.8,2025-07-18,2025-09-16,2025-09-28,Completed,Ganja,4.9
PR-2024-02700,2024-11-09,DEP-003,CAT-017,SUP-097,Open Tender,20,112.29,107.55,2024-11-19,2024-12-03,2024-11-21,Completed,Ganja,4.3
PR-2026-02701,2026-01-03,DEP-001,CAT-006,SUP-018,Open Tender,73,2231.96,2078.8,2026-01-08,2026-03-07,2026-03-01,Completed,Shirvan,4.7
PR-2025-02702,2025-09-29,DEP-005,CAT-012,SUP-031,Request for Quotation,8,9274.25,8636.6,2025-10-08,2025-11-27,2025-12-01,Completed,Shaki,5.0
PR-2025-02703,2025-01-03,DEP-004,CAT-003,SUP-007,Open Tender,77,319.78,280.65,2025-01-27,2025-02-22,2025-02-18,Completed,Baku,4.5
PR-2025-02704,2025-10-06,DEP-005,CAT-012,SUP-031,Open Tender,12,390.4,341.96,2025-10-30,2025-12-08,,In Progress,Baku,
PR-2026-02705,2026-07-26,DEP-001,CAT-001,SUP-041,Open Tender,40,1481.35,1407.31,2026-07-30,2026-08-25,2026-08-22,Completed,Baku,4.4
PR-2024-02706,2024-03-31,DEP-004,CAT-020,SUP-067,Direct Purchase,439,1.87,1.78,2024-04-28,2024-06-24,2024-07-09,Completed,Baku,3.5
PR-2026-02707,2026-05-07,DEP-005,CAT-013,SUP-003,Request for Quotation,11,5238.27,4921.3,2026-05-20,2026-06-29,2026-06-25,Completed,Baku,4.9
PR-2024-02708,2024-10-04,DEP-012,CAT-001,SUP-107,Framework Agreement,47,1330.37,1214.74,2024-10-10,2024-11-28,2024-11-23,Completed,Baku,4.3
PR-2024-02709,2024-03-20,DEP-008,CAT-019,SUP-106,Request for Quotation,481,328.38,290.83,2024-04-09,2024-05-20,,In Progress,Lankaran,
PR-2024-02710,2024-08-21,DEP-001,CAT-001,SUP-007,Direct Purchase,64,3135.0,3157.56,2024-09-01,2024-09-30,2024-09-21,Completed,Baku,4.7
PR-2025-02711,2025-10-14,DEP-002,CAT-015,SUP-074,Open Tender,4,12730.24,11968.87,2025-10-31,2025-11-25,2025-12-03,Completed,Baku,2.6
PR-2025-02712,2025-11-09,DEP-002,CAT-015,SUP-114,Request for Quotation,4,20064.05,19490.46,2025-11-21,2026-01-16,2026-01-21,Completed,Baku,5.0
PR-2025-02713,2025-08-18,DEP-005,CAT-010,SUP-037,Open Tender,96,177.65,172.24,2025-08-25,2025-10-02,2025-10-04,Completed,Baku,2.5
PR-2025-02714,2025-12-17,DEP-010,CAT-018,SUP-078,Request for Quotation,5,1790.21,1600.86,2025-12-26,2026-01-11,2026-01-16,Completed,Baku,4.8
PR-2026-02715,2026-01-26,DEP-012,CAT-004,SUP-107,Open Tender,3,315.17,291.68,2026-01-31,2026-03-18,2026-03-10,Completed,Baku,4.3
PR-2025-02716,2025-07-06,DEP-012,CAT-004,SUP-007,Request for Quotation,56,3554.31,3339.24,2025-08-01,2025-09-03,2025-09-08,Completed,Baku,4.1
PR-2024-02717,2024-01-21,DEP-004,CAT-011,SUP-066,Request for Quotation,10,5860.98,4735.28,2024-01-31,2024-02-11,2024-02-29,Completed,Baku,2.9
PR-2025-02718,2025-04-15,DEP-011,CAT-007,SUP-084,Direct Purchase,279,2.71,2.7,2025-04-18,2025-05-27,,In Progress,Baku,
PR-2026-02719,2026-04-16,DEP-007,CAT-008,SUP-070,Open Tender,397,110.78,100.79,2026-04-21,2026-04-28,2026-04-22,Completed,Baku,3.9
PR-2025-02720,2025-11-06,DEP-012,CAT-004,SUP-001,Open Tender,35,3973.4,3396.9,2025-11-18,2025-12-05,2025-12-11,Completed,Baku,4.7
PR-2025-02721,2025-05-17,DEP-004,CAT-011,SUP-119,Open Tender,4,5936.08,5118.07,2025-06-06,2025-07-17,2025-07-13,Completed,Lankaran,4.6
PR-2026-02722,2026-03-29,DEP-009,CAT-017,SUP-097,Open Tender,86,2517.24,2163.92,2026-04-06,2026-05-16,2026-05-16,Completed,Baku,4.8
PR-2025-02723,2025-09-06,DEP-008,CAT-020,SUP-016,Request for Quotation,54,1.7,1.64,2025-09-21,2025-10-05,,Cancelled,Ganja,
PR-2026-02724,2026-05-25,DEP-005,CAT-014,SUP-116,Request for Quotation,7,917.16,871.69,2026-06-17,2026-07-25,2026-07-16,Completed,Baku,4.8
PR-2026-02725,2026-01-26,DEP-007,CAT-008,SUP-009,Open Tender,714,262.26,243.26,2026-02-02,2026-02-24,2026-02-27,Completed,Baku,4.2
PR-2024-02726,2024-05-31,DEP-004,CAT-019,SUP-067,Request for Quotation,170,189.89,210.48,2024-06-08,2024-07-29,2024-08-11,Completed,Shirvan,4.4
PR-2026-02727,2026-05-19,DEP-012,CAT-017,SUP-050,Request for Quotation,27,2068.46,1756.86,2026-05-22,2026-07-02,2026-07-07,Completed,Baku,4.3
PR-2024-02728,2024-05-11,DEP-005,CAT-013,SUP-115,Open Tender,2,8328.17,6990.77,2024-05-28,2024-07-09,2024-07-13,Completed,Baku,2.7
PR-2024-02729,2024-12-01,DEP-001,CAT-001,SUP-107,Framework Agreement,17,2131.9,2011.41,2024-12-17,2025-02-14,2025-02-13,Completed,Ganja,4.4
PR-2024-02730,2024-07-15,DEP-004,CAT-009,SUP-103,Direct Purchase,63,396.75,367.73,2024-07-30,2024-08-30,,Cancelled,Lankaran,
PR-2024-02731,2024-10-13,DEP-009,CAT-008,SUP-020,Open Tender,597,30.45,26.04,2024-11-09,2024-12-02,2024-12-04,Completed,Baku,3.6
PR-2024-02732,2024-04-12,DEP-003,CAT-017,SUP-076,Open Tender,16,200.29,173.52,2024-04-23,2024-05-29,,Pending,Lankaran,
PR-2026-02733,2026-08-07,DEP-012,CAT-017,SUP-071,Open Tender,98,557.29,599.13,2026-08-22,2026-10-05,2026-10-05,Completed,Baku,3.6
PR-2025-02734,2025-01-29,DEP-006,CAT-007,SUP-021,Direct Purchase,940,18.01,18.77,2025-02-20,2025-03-18,2025-03-23,Completed,Shirvan,5.0
PR-2024-02735,2024-10-25,DEP-001,CAT-001,SUP-062,Request for Quotation,18,1994.65,2023.13,2024-11-21,2025-01-11,2025-01-13,Completed,Baku,3.4
PR-2024-02736,2024-02-07,DEP-003,CAT-011,SUP-037,Direct Purchase,6,736.44,717.65,2024-02-22,2024-04-18,2024-04-20,Completed,Baku,3.0
PR-2024-02737,2024-09-25,DEP-001,CAT-010,SUP-100,Open Tender,107,107.47,96.67,2024-10-23,2024-12-17,2024-12-05,Completed,Baku,5.0
PR-2025-02738,2025-09-02,DEP-011,CAT-015,SUP-026,Open Tender,2,1818.4,1573.87,2025-09-04,2025-10-21,2025-10-16,Completed,Baku,4.0
PR-2026-02739,2026-07-29,DEP-005,CAT-009,SUP-036,Request for Quotation,166,597.74,542.5,2026-08-12,2026-09-30,2026-09-30,Completed,Baku,4.6
PR-2025-02740,2025-12-08,DEP-001,CAT-006,SUP-007,Open Tender,64,488.04,427.09,2025-12-13,2026-01-01,2026-01-01,Completed,Baku,4.3
PR-2024-02741,2024-08-24,DEP-010,CAT-018,SUP-090,Direct Purchase,5,2232.33,2301.31,2024-09-07,2024-10-24,2024-10-20,Completed,Baku,4.8
PR-2025-02742,2025-02-26,DEP-004,CAT-003,SUP-025,Framework Agreement,71,404.08,385.23,2025-03-18,2025-03-31,,In Progress,Baku,
PR-2025-02743,2025-09-28,DEP-007,CAT-022,SUP-049,Open Tender,19,428.59,447.43,2025-10-25,2025-11-17,2025-12-02,Completed,Baku,3.6
PR-2024-02744,2024-11-28,DEP-008,CAT-020,SUP-067,Open Tender,766,1.4,1.26,2024-12-03,2024-12-20,2024-12-16,Completed,Mingachevir,4.1
PR-2024-02745,2024-12-30,DEP-002,CAT-015,SUP-114,Framework Agreement,5,2687.48,2501.39,2025-01-03,2025-01-10,2025-01-05,Completed,Baku,4.8
PR-2026-02746,2026-07-31,DEP-008,CAT-019,SUP-016,Direct Purchase,41,156.14,153.59,2026-08-21,2026-09-03,2026-09-03,Completed,Ganja,2.7
PR-2024-02747,2024-09-13,DEP-006,CAT-008,SUP-021,Direct Purchase,960,34.93,36.95,2024-10-08,2024-12-05,,In Progress,Baku,
PR-2025-02748,2025-05-29,DEP-006,CAT-007,SUP-082,Open Tender,504,21.22,18.84,2025-06-23,2025-08-14,2025-08-27,Completed,Baku,5.0
PR-2025-02749,2025-03-09,DEP-004,CAT-011,SUP-023,Direct Purchase,2,1017.71,977.95,2025-03-27,2025-05-13,2025-05-23,Completed,Baku,3.7
PR-2026-02750,2026-01-30,DEP-009,CAT-007,SUP-082,Direct Purchase,160,5.42,5.14,2026-02-18,2026-04-08,2026-04-06,Completed,Baku,4.7
PR-2024-02751,2024-03-17,DEP-001,CAT-001,SUP-066,Open Tender,77,1472.18,1321.07,2024-04-04,2024-04-24,,In Progress,Shaki,
PR-2026-02752,2026-02-25,DEP-003,CAT-015,SUP-114,Open Tender,2,1992.0,1854.76,2026-03-10,2026-03-25,2026-03-24,Completed,Baku,4.8
PR-2024-02753,2024-05-11,DEP-004,CAT-019,SUP-118,Open Tender,380,464.65,448.98,2024-06-02,2024-06-27,2024-07-06,Completed,Baku,2.8
PR-2025-02754,2025-03-09,DEP-007,CAT-022,SUP-092,Open Tender,47,3712.8,3289.84,2025-03-22,2025-04-24,,In Progress,Baku,
PR-2025-02755,2025-11-08,DEP-012,CAT-001,SUP-100,Open Tender,22,2094.42,1844.06,2025-11-27,2026-01-23,2026-01-21,Completed,Baku,4.9
PR-2025-02756,2025-03-30,DEP-001,CAT-002,SUP-062,Open Tender,29,,2085.16,2025-04-17,2025-05-16,2025-05-21,Completed,Sumgayit,4.3
PR-2024-02757,2024-10-17,DEP-008,CAT-008,SUP-064,Request for Quotation,366,41.01,39.47,2024-11-04,2024-11-22,2024-11-13,Completed,Ganja,4.2
PR-2025-02758,2025-03-14,DEP-002,CAT-008,SUP-081,Direct Purchase,779,164.16,163.44,2025-03-25,2025-04-09,2025-04-17,Completed,Baku,4.3
PR-2026-02759,2026-02-26,DEP-004,CAT-006,SUP-048,Open Tender,69,4500.19,4114.3,2026-03-16,2026-04-02,,Cancelled,Absheron,
PR-2026-02760,2026-07-12,DEP-003,CAT-016,SUP-080,Request for Quotation,3,5235.88,4640.88,2026-07-27,2026-08-28,2026-08-29,Completed,Baku,4.2
PR-2024-02761,2024-09-23,DEP-005,CAT-012,SUP-066,Open Tender,11,312.94,329.75,2024-10-15,2024-11-06,2024-11-16,Completed,Baku,3.7
PR-2025-02762,2025-07-08,DEP-008,CAT-011,SUP-024,Open Tender,4,1961.43,1850.15,2025-08-01,2025-08-19,2025-08-17,Completed,Mingachevir,4.4
PR-2024-02763,2024-03-26,DEP-004,CAT-019,SUP-067,Request for Quotation,663,846.95,810.03,2024-04-08,2024-05-09,2024-05-06,Completed,Baku,3.4
PR-2025-02764,2025-10-30,DEP-009,CAT-008,SUP-070,Request for Quotation,485,255.34,247.09,2025-11-06,2025-11-18,2025-11-15,Completed,Baku,4.8
PR-2024-02765,2024-11-11,DEP-010,CAT-024,SUP-109,Request for Quotation,67,6.19,5.97,2024-11-21,2025-01-02,,In Progress,Baku,
PR-2026-02766,2026-06-29,DEP-006,CAT-007,SUP-009,Request for Quotation,474,9.72,9.02,2026-07-21,2026-08-07,2026-07-29,Completed,Baku,4.4
PR-2024-02767,2024-06-21,DEP-005,CAT-013,SUP-043,Request for Quotation,1,2058.45,1957.26,2024-07-04,2024-08-12,2024-08-08,Completed,Baku,5.0
PR-2024-02768,2024-01-18,DEP-008,CAT-008,SUP-020,Request for Quotation,781,94.31,87.38,2024-01-27,2024-02-14,2024-03-05,Completed,Ganja,4.3
PR-2025-02769,2025-06-20,DEP-001,CAT-003,SUP-054,Request for Quotation,1,560.87,519.82,2025-07-04,2025-08-29,2025-09-03,Completed,Baku,3.7
PR-2026-02770,2026-04-03,DEP-004,CAT-004,SUP-041,Open Tender,77,6270.31,5369.28,2026-04-19,2026-05-15,2026-05-12,Completed,Baku,4.4
PR-2024-02771,2024-02-27,DEP-007,CAT-008,SUP-005,Request for Quotation,684,102.4,96.73,2024-03-23,2024-05-12,2024-05-05,Completed,Absheron,4.6
PR-2025-02772,2025-05-06,DEP-008,CAT-002,SUP-040,Open Tender,72,1833.83,1636.35,2025-05-08,2025-05-22,2025-06-01,Completed,Ganja,4.2
PR-2026-02773,2026-03-16,DEP-004,CAT-003,SUP-100,Open Tender,42,443.02,398.47,2026-03-19,2026-04-09,2026-04-21,Completed,Ganja,4.9
PR-2024-02774,2024-05-29,DEP-010,CAT-018,SUP-042,Open Tender,8,13837.67,12405.94,2024-06-15,2024-08-13,2024-08-27,Completed,Shaki,4.0
PR-2025-02775,2025-03-13,DEP-009,CAT-023,SUP-061,Direct Purchase,345,21.21,21.84,2025-03-23,2025-04-12,,In Progress,Baku,
PR-2024-02776,2024-10-11,DEP-001,CAT-001,SUP-041,Open Tender,63,2327.56,2003.85,2024-10-31,2024-11-13,2024-11-14,Completed,Baku,5.0
PR-2026-02777,2026-04-10,DEP-010,CAT-018,SUP-098,Open Tender,7,16601.43,14378.57,2026-04-25,2026-06-11,2026-06-14,Completed,Sumgayit,4.7
PR-2024-02778,2024-10-24,DEP-005,CAT-012,SUP-024,Request for Quotation,3,441.47,423.49,2024-11-16,2025-01-13,2025-01-23,Completed,Baku,4.5
PR-2025-02779,2025-12-05,DEP-010,CAT-002,SUP-007,Request for Quotation,36,1139.4,1074.15,2025-12-14,2026-02-08,2026-02-06,Completed,Baku,4.8
PR-2026-02780,2026-08-08,DEP-001,CAT-008,SUP-070,Direct Purchase,111,123.06,128.78,2026-08-14,2026-09-24,,In Progress,Baku,
PR-2026-02781,2026-05-18,DEP-007,CAT-023,SUP-063,Direct Purchase,270,25.55,28.82,2026-06-10,2026-07-06,2026-07-05,Completed,Ganja,4.9
PR-2025-02782,2025-03-07,DEP-004,CAT-002,SUP-054,Framework Agreement,46,1320.2,1180.03,2025-03-13,2025-04-27,,In Progress,Sumgayit,
PR-2025-02783,2025-04-06,DEP-004,CAT-011,SUP-066,Open Tender,2,2092.52,2233.99,2025-04-16,2025-05-17,2025-06-01,Completed,Baku,3.7
PR-2024-02784,2024-04-12,DEP-001,CAT-015,SUP-083,Request for Quotation,3,2167.06,2053.8,2024-04-25,2024-06-12,2024-06-10,Completed,Baku,4.0
PR-2025-02785,2025-03-07,DEP-001,CAT-005,SUP-001,Open Tender,41,219.18,193.26,2025-03-13,2025-03-22,2025-03-25,Completed,Shirvan,3.7
PR-2026-02786,2026-02-05,DEP-004,CAT-001,SUP-062,Open Tender,69,1272.93,1206.15,2026-02-08,2026-02-16,2026-02-14,Completed,Lankaran,4.3
PR-2024-02787,2024-04-02,DEP-002,CAT-008,SUP-068,Direct Purchase,952,150.33,144.56,2024-04-15,2024-05-23,2024-05-19,Completed,Baku,4.8
PR-2026-02788,2026-05-09,DEP-012,CAT-005,SUP-100,Open Tender,3,1350.81,1278.89,2026-05-13,2026-05-31,2026-05-26,Completed,Baku,4.7
PR-2024-02789,2024-10-01,DEP-006,CAT-008,SUP-084,Request for Quotation,523,136.63,130.86,2024-10-08,2024-10-17,2024-10-05,Completed,Baku,4.3
PR-2024-02790,2024-06-10,DEP-010,CAT-024,SUP-033,Request for Quotation,349,16.18,15.47,2024-06-26,2024-07-20,,Pending,Baku,
PR-2024-02791,2024-03-12,DEP-001,CAT-001,SUP-062,Open Tender,17,3083.9,2622.81,2024-04-02,2024-04-30,,Cancelled,Absheron,
PR-2025-02792,2025-12-22,DEP-001,CAT-005,SUP-025,Direct Purchase,47,2757.52,2544.97,2026-01-13,2026-02-11,2026-02-13,Completed,Baku,4.5
PR-2025-02793,2025-02-18,DEP-009,CAT-024,SUP-109,Direct Purchase,289,6.05,5.73,2025-03-08,2025-04-28,2025-05-04,Completed,Baku,4.2
PR-2026-02794,2026-08-11,DEP-008,CAT-012,SUP-011,Request for Quotation,1,16374.69,14951.04,2026-08-22,2026-09-10,2026-09-06,Completed,Ganja,5.0
PR-2024-02795,2024-04-13,DEP-010,CAT-024,SUP-093,Request for Quotation,12,8.02,8.19,2024-04-15,2024-05-27,,Cancelled,Ganja,
PR-2024-02796,2024-10-13,DEP-008,CAT-005,SUP-001,Direct Purchase,34,339.54,335.24,2024-11-06,2024-12-19,2024-12-23,Completed,Shaki,4.0
PR-2025-02797,2025-09-20,DEP-005,CAT-009,SUP-098,Request for Quotation,98,605.92,569.19,2025-10-17,2025-12-08,2025-12-01,Completed,Baku,4.6
PR-2026-02798,2026-08-08,DEP-001,CAT-001,SUP-025,Request for Quotation,35,1687.38,1573.7,2026-08-16,2026-08-23,2026-08-16,Completed,Baku,4.8
PR-2024-02799,2024-08-14,DEP-001,CAT-002,SUP-062,Open Tender,55,2056.78,1807.15,2024-08-26,2024-09-21,2024-09-20,Completed,Shaki,4.2
PR-2024-02800,2024-06-29,DEP-009,CAT-023,SUP-032,Request for Quotation,387,115.24,119.11,2024-07-08,2024-07-19,2024-07-28,Completed,Baku,4.1
PR-2026-02801,2026-07-06,DEP-001,CAT-004,SUP-001,Direct Purchase,8,331.92,348.94,2026-08-01,2026-09-06,2026-09-02,Completed,Baku,3.9
PR-2026-02802,2026-07-16,DEP-007,CAT-002,SUP-071,Framework Agreement,71,1657.69,1477.82,2026-08-06,2026-09-20,2026-09-23,Completed,Baku,3.6
PR-2025-02803,2025-02-10,DEP-008,CAT-008,SUP-105,Open Tender,146,127.67,118.19,2025-02-18,2025-03-04,2025-03-11,Completed,Ganja,2.9
PR-2025-02804,2025-04-23,DEP-005,CAT-009,SUP-094,Request for Quotation,67,440.51,443.25,2025-05-20,2025-07-19,2025-07-14,Completed,Baku,4.1
PR-2024-02805,2024-02-27,DEP-005,CAT-006,SUP-054,Request for Quotation,16,1206.08,1231.93,2024-03-10,2024-04-20,2024-04-17,Completed,Baku,3.3
PR-2026-02806,2026-07-04,DEP-012,CAT-005,SUP-107,Open Tender,20,1229.58,1146.87,2026-07-26,2026-08-30,,In Progress,Baku,
PR-2025-02807,2025-10-13,DEP-008,CAT-002,SUP-001,Open Tender,75,2574.67,2330.77,2025-11-02,2025-12-02,2025-11-29,Completed,Ganja,3.8
PR-2025-02808,2025-01-31,DEP-012,CAT-020,SUP-106,Direct Purchase,713,1.19,1.15,2025-02-14,2025-03-27,,Cancelled,Baku,
PR-2025-02809,2025-01-26,DEP-001,CAT-002,SUP-041,Open Tender,20,1104.23,1007.89,2025-02-22,2025-03-26,2025-03-21,Completed,Shaki,4.3
PR-2025-02810,2025-09-13,DEP-011,CAT-015,SUP-114,Open Tender,4,5867.96,5361.55,2025-09-17,2025-10-23,2025-10-27,Completed,Baku,5.0
PR-2025-02811,2025-07-13,DEP-001,CAT-005,SUP-040,Open Tender,8,2990.87,2750.68,2025-08-10,2025-10-01,2025-10-08,Completed,Baku,4.1
PR-2026-02812,2026-01-04,DEP-011,CAT-007,SUP-045,Direct Purchase,855,4.17,4.19,2026-01-08,2026-02-03,,In Progress,Baku,
PR-2024-02813,2024-08-23,DEP-010,CAT-024,SUP-109,Framework Agreement,243,19.03,20.32,2024-08-28,2024-09-26,2024-09-23,Completed,Baku,4.6
PR-2026-02814,2026-06-08,DEP-004,CAT-019,SUP-106,Open Tender,745,1460.96,1367.17,2026-07-02,2026-07-20,,In Progress,Shirvan,
PR-2024-02815,2024-08-16,DEP-009,CAT-023,SUP-003,Request for Quotation,100,39.29,36.46,2024-09-08,2024-10-09,2024-10-06,Completed,Baku,4.5
PR-2026-02816,2026-01-31,DEP-009,CAT-015,SUP-079,Open Tender,2,12060.77,11186.41,2026-02-13,2026-04-10,2026-04-12,Completed,Baku,5.0
PR-2026-02817,2026-07-28,DEP-006,CAT-018,SUP-090,Request for Quotation,8,5394.19,5066.78,2026-08-15,2026-09-20,2026-09-27,Completed,Baku,4.8
PR-2026-02818,2026-03-15,DEP-001,CAT-003,SUP-040,Open Tender,41,520.39,497.98,2026-03-25,2026-04-28,2026-04-26,Completed,Baku,4.3
PR-2025-02819,2025-12-16,DEP-001,CAT-001,SUP-101,Open Tender,63,1493.4,1380.8,2025-12-22,2026-02-13,2026-02-26,Completed,Ganja,4.1
PR-2026-02820,2026-08-19,DEP-004,CAT-017,SUP-071,Direct Purchase,113,1479.36,1533.3,2026-08-24,2026-10-01,,In Progress,Baku,
PR-2024-02821,2024-05-18,DEP-012,CAT-003,SUP-025,Request for Quotation,36,560.7,540.85,2024-05-25,2024-07-14,,In Progress,Baku,
PR-2026-02822,2026-04-14,DEP-004,CAT-019,SUP-005,Open Tender,123,301.53,281.61,2026-05-09,2026-06-19,2026-06-23,Completed,Baku,4.1
PR-2026-02823,2026-07-07,DEP-012,CAT-017,SUP-112,Request for Quotation,14,439.5,409.98,2026-07-25,2026-08-27,2026-09-04,Completed,Baku,3.8
PR-2024-02824,2024-06-01,DEP-005,CAT-014,SUP-115,Request for Quotation,7,1796.0,1769.65,2024-06-19,2024-08-01,2024-08-04,Completed,Baku,3.0
PR-2025-02825,2025-02-03,DEP-007,CAT-023,SUP-055,Framework Agreement,113,74.51,70.59,2025-02-27,2025-04-04,2025-03-31,Completed,Baku,3.9
PR-2025-02826,2025-07-29,DEP-002,CAT-022,SUP-110,Request for Quotation,20,10159.64,9623.03,2025-07-31,2025-09-11,2025-09-12,Completed,Baku,4.7
